food_id,name_en,vernacular_names,category,calories(kcal),protein(g),carbs(g),fats(g),fiber(g),vitamins,minerals,ayurveda_dosha_vata,ayurveda_dosha_pitta,ayurveda_dosha_kapha,ayurveda_rasa,ayurveda_guna,ayurveda_virya,ayurveda_vipaka,health_tags,medical_usage,contraindications,drug_interactions,therapeutic_dosage,preparation_methods,restrictions,growing_regions,storage_shelf_life,,
FW001,Eggs,"Anda (अंडा), Guddu (గుడ్డు)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW002,Chicken (Broiler),"Murgi (मुर्गी), Kodi Mamsam (కోడిమాంసం)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW003,Mutton (Goat),"Mutton (मटन), Meka Mamsam (మేకమాంసం)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW004,Fish (Rohu),"Rohu (रोहू), Rohu (రోహు)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW005,Fish (Catla),"Catla (कतला), Bokka (బొక్క)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW006,Prawns,"Jhinga (झींगा), Royyalu (రొయ్యలు)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW007,Eggs (119),"Anda (अंडा), Guddu (గుడ్డు)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW008,Chicken (Broiler) (120),"Murgi (मुर्गी), Kodi Mamsam (కోడిమాంసం)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW009,Mutton (Goat) (121),"Mutton (मटन), Meka Mamsam (మేకమాంసం)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
FW010,Fish (Rohu) (122),"Rohu (रोहू), Rohu (రోహు)",Animal-based,200,22,0,12,0,"Protein, Vitamin B12, Iron, Zinc","Iron, Zinc, Potassium",Decrease,Increase,Increase,Madhura,"Guru, Snigdha",Ushna,Madhura,"protein, iron","Used as food; traditional uses vary by item (e.g., digestive aid, nutritive).",No major contraindications when consumed in normal dietary amounts; consult practitioner for therapeutic use.,"Consult physician if you are on medication (e.g., anticoagulants, diabetes drugs).",Typical dietary/culinary amounts; therapeutic dosing requires practitioner guidance.,"Curry, grill, fry, steam",Avoid if allergic or specific medical conditions; consult practitioner.,Widely grown/available across India,"Chilled: 1–3 days, Frozen: 1–3 months",,
